id,id_label,resolved,first_observed,last_observed,observations,min_cust_aff,max_cust_aff,min_start,max_etr,last_cause,longitude,latitude,county,neighborhood
66829,66829,1,2022-08-25T14:04:35Z,2022-08-25T14:14:35Z,2,4,4,2022-08-25T13:55:42Z,2022-08-25T18:30:00Z,Cause Being Investigated,-64.59475,45.1151,Kings,
66807,66807,1,2022-08-25T03:54:35Z,2022-08-25T14:04:35Z,34,4,4,2022-08-25T02:43:23Z,2022-08-25T19:15:00Z,Cause Being Investigated,-61.35877,45.61562,Inverness,
66812,66812,1,2022-08-25T10:14:34Z,2022-08-25T13:44:35Z,15,4,4,2022-08-25T10:03:53Z,2022-08-25T14:45:00Z,Cause Being Investigated,-64.89369,44.9603,Kings,
66808,66808,1,2022-08-25T07:04:28Z,2022-08-25T13:14:35Z,20,4,4,2022-08-25T07:00:00Z,2022-08-25T13:15:00Z,Cause Being Investigated,-62.75538,45.42753,Pictou,
66817,66817,1,2022-08-25T12:24:32Z,2022-08-25T13:04:35Z,5,4,4,2022-08-25T12:19:06Z,2022-08-25T17:00:00Z,Cause Being Investigated,-64.52824,44.29868,Lunenburg,
66819,66819,1,2022-08-25T12:34:34Z,2022-08-25T12:54:36Z,3,4,4,2022-08-25T12:24:22Z,2022-08-25T17:00:00Z,Cause Being Investigated,-64.52139,44.29956,Lunenburg,
66822,66822,1,2022-08-25T12:44:35Z,2022-08-25T12:54:36Z,2,4,4,,,,-64.5243,44.30484,Lunenburg,
66823,66823,1,2022-08-25T12:44:35Z,2022-08-25T12:54:36Z,2,4,4,2022-08-25T12:28:53Z,2022-08-25T17:00:00Z,Cause Being Investigated,-64.5412,44.27574,Lunenburg,
66815,66815,1,2022-08-25T12:04:29Z,2022-08-25T12:44:35Z,5,6,6,2022-08-25T07:53:12Z,2022-08-25T15:30:00Z,Cause Being Investigated,-62.69739,45.56272,Pictou,
66820,66820,1,2022-08-25T12:34:34Z,2022-08-25T12:44:35Z,2,4,4,2022-08-25T12:21:42Z,2022-08-25T17:00:00Z,Cause Being Investigated,-64.52401,44.30456,Lunenburg,
66809,66809,1,2022-08-25T08:04:35Z,2022-08-25T12:04:29Z,7,4,4,2022-08-25T07:53:12Z,2022-08-25T11:45:00Z,Cause Being Investigated,-62.69679,45.563,Pictou,
66810,66810,1,2022-08-25T10:14:34Z,2022-08-25T11:44:35Z,4,4,4,2022-08-25T10:06:57Z,2022-08-25T14:00:00Z,Cause Being Investigated,-64.37722,45.69795,Cumberland,
66763,66763,1,2022-08-24T22:54:35Z,2022-08-25T08:04:35Z,43,4,4,2022-08-24T22:43:25Z,2022-08-25T08:15:00Z,Cause Being Investigated,-60.39707,46.09728,Cape Breton,
66764,66764,1,2022-08-24T22:54:35Z,2022-08-25T08:04:35Z,43,4,4,2022-08-24T22:42:20Z,2022-08-25T09:00:00Z,Cause Being Investigated,-60.37514,46.14478,Cape Breton,
66760,66760,1,2022-08-24T21:34:34Z,2022-08-25T07:54:35Z,47,4,4,2022-08-24T21:25:41Z,2022-08-25T09:30:00Z,Cause Being Investigated,-63.44531,44.68327,Halifax,
66773,66773,1,2022-08-24T23:54:35Z,2022-08-25T05:14:31Z,25,4,4,2022-08-24T23:45:23Z,2022-08-25T09:00:00Z,Planned Maintenance,-63.57602,44.648,Halifax,Downtown Halifax
66775,66775,1,2022-08-25T00:04:33Z,2022-08-25T04:54:35Z,23,27,27,2022-08-24T23:25:34Z,2022-08-25T05:00:00Z,Cause Being Investigated,-62.47778,45.61842,Pictou,
66770,66770,1,2022-08-24T23:34:35Z,2022-08-25T04:34:35Z,25,6,6,2022-08-24T23:13:06Z,2022-08-25T05:15:00Z,Cause Being Investigated,-60.21445,46.14393,Cape Breton,
66801,66801,1,2022-08-25T00:54:35Z,2022-08-25T04:24:35Z,16,4,4,2022-08-25T00:37:38Z,2022-08-25T04:30:00Z,Cause Being Investigated,-64.96948,44.95651,Annapolis,
66806,66806,1,2022-08-25T03:24:36Z,2022-08-25T03:54:35Z,4,11,11,,,,-61.35897,45.61559,Inverness,
66805,66805,1,2022-08-25T02:54:35Z,2022-08-25T03:24:36Z,3,4,4,2022-08-25T02:43:23Z,2022-08-25T07:45:00Z,Cause Being Investigated,-61.35877,45.61562,Inverness,
66777,66777,1,2022-08-25T00:24:37Z,2022-08-25T03:04:35Z,14,4,4,2022-08-25T00:16:04Z,2022-08-25T03:30:00Z,Lightning,-62.70317,45.47579,Pictou,
66800,66800,1,2022-08-25T00:44:35Z,2022-08-25T02:54:35Z,11,18,18,2022-08-25T00:34:47Z,2022-08-25T04:30:00Z,Cause Being Investigated,-60.18337,46.1248,Cape Breton,
66765,66765,1,2022-08-24T22:54:35Z,2022-08-25T02:34:35Z,21,4,4,2022-08-24T22:47:00Z,2022-08-25T02:45:00Z,Cause Being Investigated,-64.19625,45.80451,Cumberland,
66802,66802,1,2022-08-25T01:24:35Z,2022-08-25T02:24:35Z,7,4,4,2022-08-25T01:14:21Z,2022-08-25T03:15:00Z,Cause Being Investigated,-64.19167,45.04696,Hants,
66804,66804,1,2022-08-25T02:04:34Z,2022-08-25T02:24:35Z,3,34,34,2022-08-25T01:49:00Z,2022-08-25T06:15:00Z,Cause Being Investigated,-64.18471,45.03948,Hants,
66738,66738,1,2022-08-24T20:04:34Z,2022-08-25T02:14:35Z,31,4,4,2022-08-24T19:55:00Z,2022-08-25T02:45:00Z,Cause Being Investigated,-63.87548,45.7306,Cumberland,
66771,66771,1,2022-08-24T23:44:35Z,2022-08-25T02:14:35Z,14,4,4,2022-08-24T23:28:00Z,2022-08-25T04:00:00Z,Cause Being Investigated,-65.57305,44.62497,Annapolis,
66737,66737,1,2022-08-24T19:14:34Z,2022-08-25T02:04:34Z,34,4,5,2022-08-24T19:03:00Z,2022-08-25T02:45:00Z,Cause Being Investigated,-60.23107,46.24201,Cape Breton,
66803,66803,1,2022-08-25T01:54:32Z,2022-08-25T02:04:34Z,2,4,4,2022-08-25T01:49:00Z,2022-08-25T06:15:00Z,Cause Being Investigated,-64.18874,45.04228,Hants,
66799,66799,1,2022-08-25T00:34:35Z,2022-08-25T01:34:29Z,5,985,985,2022-08-25T00:15:27Z,2022-08-25T02:30:00Z,Lightning,-62.65803,45.43917,Pictou,
66774,66774,1,2022-08-24T23:54:35Z,2022-08-25T00:54:35Z,7,4,4,2022-08-24T23:43:44Z,2022-08-25T05:45:00Z,Cause Being Investigated,-63.62334,44.62262,Halifax,
66776,66776,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:16:23Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.68284,45.42308,Pictou,
66778,66778,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:18:21Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.70302,45.47825,Pictou,
66779,66779,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:16:01Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.66975,45.4871,Pictou,
66780,66780,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:17:44Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.68444,45.51305,Pictou,
66781,66781,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:17:43Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.62165,45.46028,Pictou,
66782,66782,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,,,,-62.67961,45.51855,Pictou,
66783,66783,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,10,10,2022-08-25T00:16:00Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.77654,45.43847,Pictou,
66784,66784,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:15:43Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.70409,45.48675,Pictou,
66785,66785,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:16:41Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.6582,45.47034,Pictou,
66786,66786,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:18:14Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.71282,45.48452,Pictou,
66787,66787,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:17:55Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.67554,45.49491,Pictou,
66788,66788,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:18:05Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.71041,45.47565,Pictou,
66789,66789,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:16:51Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.64651,45.4169,Pictou,
66790,66790,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:18:20Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.69955,45.4775,Pictou,
66791,66791,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:18:18Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.69108,45.41345,Pictou,
66792,66792,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:16:49Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.68563,45.50051,Pictou,
66793,66793,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:16:01Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.63723,45.48175,Pictou,
66794,66794,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:16:35Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.61042,45.42494,Pictou,
66795,66795,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:15:27Z,2022-08-25T03:15:00Z,Cause Being Investigated,-62.7114,45.47853,Pictou,
66796,66796,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:17:57Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.73858,45.48425,Pictou,
66797,66797,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:16:33Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.70868,45.47845,Pictou,
66798,66798,1,2022-08-25T00:24:37Z,2022-08-25T00:34:35Z,2,4,4,2022-08-25T00:15:58Z,2022-08-25T03:30:00Z,Cause Being Investigated,-62.65721,45.46753,Pictou,
66767,66767,1,2022-08-24T23:14:36Z,2022-08-25T00:14:35Z,7,4,4,2022-08-24T23:02:39Z,2022-08-25T05:15:00Z,Cause Being Investigated,-63.56234,44.6691,Halifax,Hawthorne
66769,66769,1,2022-08-24T23:34:35Z,2022-08-25T00:04:33Z,4,26,26,2022-08-24T23:25:34Z,2022-08-25T03:15:00Z,Cause Being Investigated,-62.47693,45.62055,Pictou,
66761,66761,1,2022-08-24T22:14:30Z,2022-08-24T23:54:35Z,10,4,4,2022-08-24T22:05:00Z,2022-08-25T04:15:00Z,Cause Being Investigated,-63.6048,44.66726,Halifax,Needham
66766,66766,1,2022-08-24T22:54:35Z,2022-08-24T23:54:35Z,7,4,4,2022-08-24T22:48:05Z,2022-08-25T05:00:00Z,Cause Being Investigated,-63.60191,44.67086,Halifax,North End
66772,66772,1,2022-08-24T23:44:35Z,2022-08-24T23:54:35Z,2,4,4,2022-08-24T23:28:21Z,2022-08-25T02:45:00Z,Cause Being Investigated,-63.46541,45.08269,Hants,
66740,66740,1,2022-08-24T20:44:35Z,2022-08-24T23:34:35Z,15,4,4,2022-08-24T20:34:26Z,2022-08-25T01:45:00Z,Cause Being Investigated,-60.41765,46.15763,Cape Breton,
66768,66768,1,2022-08-24T23:24:35Z,2022-08-24T23:34:35Z,2,4,4,2022-08-24T23:13:06Z,2022-08-25T04:15:00Z,Cause Being Investigated,-60.21414,46.14373,Cape Breton,
66739,66739,1,2022-08-24T20:44:35Z,2022-08-24T23:14:36Z,13,4,4,2022-08-24T20:34:45Z,2022-08-25T01:15:00Z,Cause Being Investigated,-65.57185,44.62613,Annapolis,
66758,66758,1,2022-08-24T21:24:35Z,2022-08-24T23:14:36Z,9,8,8,2022-08-24T18:59:27Z,2022-08-25T00:45:00Z,Cause Being Investigated,-64.5282,45.13604,Kings,
66757,66757,1,2022-08-24T21:24:35Z,2022-08-24T23:04:35Z,8,4,4,2022-08-24T21:17:00Z,2022-08-25T01:15:00Z,Cause Being Investigated,-63.55792,45.62528,Cumberland,
